 Rnk, Player Name, School, Conf, Games Played, Cmp (passing), Att (passing),  Percent (passing),  Yards (passing),  Avg Yards (passing),AY/A (passing),TD (passing), Interceptins (passing), Rate (passing), Att (rushing), Yds (rushing), Avg Yards (rushing), TD (rushing), Year
110,Jordan Webb,Colorado,Pac-12,10,144,265,54.3,1434,5.4,4.7,8,8,103.7,64,-135,-2.1,2,2012
111,Mike Wegzyn,Massachusetts,MAC,11,182,346,52.6,1825,5.3,4.3,6,10,96.8,93,141,1.5,2,2012
1,Jameis Winston,Florida State,ACC,14,257,384,66.9,4057,10.6,11.5,40,10,184.8,88,219,2.5,4,2013
2,Bryce Petty,Baylor,Big 12,13,250,403,62.0,4200,10.4,11.7,32,3,174.3,94,209,2.2,14,2013
3,Zach Mettenberger,LSU,SEC,12,192,296,64.9,3082,10.4,10.7,22,8,171.4,34,-133,-3.9,0,2013
4,Johnny Manziel,Texas A&M,SEC,13,300,429,69.9,4114,9.6,10.0,37,13,172.9,144,759,5.3,9,2013
5,Marcus Mariota,Oregon,Pac-12,13,245,386,63.5,3665,9.5,10.6,31,4,167.7,96,715,7.4,9,2013
6,Jake Waters,Kansas State,Big 12,13,159,260,61.2,2469,9.5,9.3,18,9,156.8,118,312,2.6,6,2013
7,Blake Bortles,UCF,American,13,259,382,67.8,3581,9.4,9.6,25,9,163.4,87,272,3.1,6,2013
8,Matt Johnson,Bowling Green State,MAC,14,237,369,64.2,3467,9.4,9.9,25,7,161.7,117,238,2.0,5,2013
9,Teddy Bridgewater,Louisville,American,13,303,427,71.0,3970,9.3,10.3,31,4,171.1,63,78,1.2,1,2013
10,Tajh Boyd,Clemson,ACC,13,283,413,68.5,3851,9.3,9.8,34,11,168.7,154,400,2.6,10,2013
11,A.J. McCarron,Alabama,SEC,13,226,336,67.3,3063,9.1,9.8,28,7,167.2,34,-22,-0.6,0,2013
12,Terrance Broadway,Louisiana,Sun Belt,12,166,266,62.4,2419,9.1,8.5,19,12,153.3,131,442,3.4,8,2013
13,Aaron Murray,Georgia,SEC,11,225,347,64.8,3075,8.9,9.2,26,9,158.8,53,186,3.5,7,2013
14,Kevin Hogan,Stanford,Pac-12,14,180,295,61.0,2630,8.9,8.7,20,10,151.5,84,355,4.2,2,2013
15,Stephen Morris,Miami (FL),ACC,13,198,344,57.6,3028,8.8,8.5,21,12,144.7,28,-88,-3.1,0,2013
16,David Fales,San Jose State,MWC,12,312,487,64.1,4189,8.6,8.8,33,13,153.3,48,7,0.1,2,2013
17,Devin Gardner,Michigan,Big Ten,12,208,345,60.3,2960,8.6,8.4,21,11,146.1,165,483,2.9,11,2013
18,Connor Shaw,South Carolina,SEC,13,180,284,63.4,2447,8.6,10.1,24,1,162.9,154,558,3.6,6,2013
19,Brendon Kay,Cincinnati,American,13,262,395,66.3,3302,8.4,8.1,22,12,148.9,72,137,1.9,6,2013
20,Keith Price,Washington,Pac-12,12,233,352,66.2,2966,8.4,8.9,21,6,153.3,82,108,1.3,5,2013
21,Keith Wenning,Ball State,MAC,13,319,498,64.1,4148,8.3,9.1,35,7,154.4,45,44,1.0,5,2013
22,Brett Hundley,UCLA,Pac-12,13,248,371,66.8,3071,8.3,8.5,24,9,152.9,160,748,4.7,11,2013
23,P.J. Walker,Temple,American,9,152,250,60.8,2084,8.3,8.5,20,8,150.8,90,332,3.7,3,2013
24,Nick Marshall,Auburn,SEC,13,142,239,59.4,1976,8.3,8.3,14,6,143.2,172,1068,6.2,12,2013
25,Cody Kessler,USC,Pac-12,14,236,361,65.4,2968,8.2,8.5,20,7,148.8,42,-124,-3.0,1,2013
26,Braxton Miller,Ohio State,Big Ten,12,162,255,63.5,2094,8.2,8.9,24,7,158.1,171,1068,6.2,12,2013
27,Ross Metheny,South Alabama,Sun Belt,12,201,324,62.0,2622,8.1,8.0,15,7,141.0,132,604,4.6,10,2013
28,Austyn Carta-Samuels,Vanderbilt,SEC,10,193,281,68.7,2268,8.1,7.4,11,9,143.0,75,115,1.5,5,2013
29,C.J. Brown,Maryland,ACC,11,166,282,58.9,2242,8.0,7.8,13,7,135.9,140,576,4.1,12,2013
30,Tommy Rees,Notre Dame,Ind,13,224,414,54.1,3257,7.9,7.8,27,13,135.4,11,-56,-5.1,0,2013
31,Sean Schroeder,Hawaii,MWC,11,233,376,62.0,2960,7.9,7.7,28,14,145.2,53,-51,-1.0,2,2013
32,Rakeem Cato,Marshall,CUSA,14,298,499,59.7,3916,7.8,8.6,39,9,147.8,99,294,3.0,6,2013
33,Nate Sudfeld,Indiana,Big Ten,12,194,322,60.2,2523,7.8,7.9,21,9,142.0,38,-34,-0.9,1,2013
34,Marquise Williams,North Carolina,ACC,11,126,217,58.1,1698,7.8,8.0,15,6,141.1,111,536,4.8,6,2013
35,Derek Carr,Fresno State,MWC,13,454,659,68.9,5083,7.7,8.7,50,8,156.3,40,117,2.9,2,2013
36,Sean Mannion,Oregon State,Pac-12,13,400,603,66.3,4662,7.7,7.8,37,15,146.6,34,-223,-6.6,0,2013
37,Garrett Grayson,Colorado State,MWC,14,297,478,62.1,3696,7.7,7.7,23,11,138.4,69,119,1.7,2,2013
38,Bo Wallace,Ole Miss,SEC,13,283,437,64.8,3346,7.7,7.5,18,10,138.1,131,355,2.7,6,2013
39,Quinn Kaehler,San Diego State,MWC,12,232,389,59.6,3007,7.7,7.7,19,9,136.1,49,-109,-2.2,1,2013
40,Tyler Tettleton,Ohio,MAC,13,230,371,62.0,2851,7.7,7.4,21,12,138.8,43,24,0.6,0,2013
41,Travis Wilson,Utah,Pac-12,9,133,237,56.1,1827,7.7,6.0,16,16,129.6,81,386,4.8,5,2013
42,Nathan Scheelhaase,Illinois,Big Ten,12,287,430,66.7,3272,7.6,7.2,21,13,140.7,113,271,2.4,4,2013
43,Corey Robinson,Troy,Sun Belt,12,285,421,67.7,3219,7.6,7.6,20,9,143.3,35,-111,-3.2,1,2013
44,Tom Savage,Pitt,ACC,13,238,389,61.2,2958,7.6,7.6,21,9,138.2,76,-208,-2.7,3,2013
45,Brandon Doughty,Western Kentucky,Sun Belt,12,246,374,65.8,2857,7.6,6.7,14,14,134.8,34,-109,-3.2,0,2013
46,Chase Rettig,Boston College,ACC,13,162,263,61.6,1995,7.6,7.5,17,8,140.6,60,71,1.2,1,2013
47,Shane Carden,East Carolina,CUSA,13,387,549,70.5,4139,7.5,7.9,33,10,150.0,90,103,1.1,10,2013
48,Taylor Kelly,Arizona State,Pac-12,14,302,484,62.4,3635,7.5,7.6,28,12,139.6,173,608,3.5,9,2013
49,Christian Hackenberg,Penn State,Big Ten,12,231,392,58.9,2955,7.5,7.4,20,10,134.0,49,-68,-1.4,4,2013
50,Davis Webb,Texas Tech,Big 12,10,226,361,62.6,2718,7.5,7.5,20,9,139.1,25,-12,-0.5,0,2013
51,Cody Fajardo,Nevada,MWC,10,243,358,67.9,2668,7.5,7.8,13,3,140.8,141,621,4.4,8,2013
52,Adam Kennedy,Arkansas State,Sun Belt,13,218,315,69.2,2363,7.5,7.3,11,6,139.9,153,524,3.4,4,2013
53,Cooper Rush,Central Michigan,MAC,11,177,312,56.7,2349,7.5,6.3,15,15,126.2,38,-84,-2.2,1,2013
54,Clint Chelf,Oklahoma State,Big 12,12,164,291,56.4,2169,7.5,7.4,17,8,132.7,63,369,5.9,7,2013
55,Grant Hedrick,Boise State,MWC,13,167,242,69.0,1825,7.5,7.9,16,5,150.0,68,277,4.1,6,2013
56,Derek Thompson,North Texas,CUSA,13,251,390,64.4,2896,7.4,6.7,16,13,133.6,64,157,2.5,3,2013
57,Joel Stave,Wisconsin,Big Ten,13,208,336,61.9,2494,7.4,7.0,22,13,138.1,37,-22,-0.6,1,2013
58,Connor Cook,Michigan State,Big Ten,14,223,380,58.7,2755,7.3,7.7,22,6,135.5,69,76,1.1,1,2013
59,Dak Prescott,Mississippi State,SEC,11,156,267,58.4,1940,7.3,6.8,10,7,126.6,134,829,6.2,13,2013
60,Jaquez Johnson,Florida Atlantic,CUSA,11,149,256,58.2,1876,7.3,6.9,12,8,129.0,172,772,4.5,10,2013
61,Brett Smith,Wyoming,MWC,12,293,467,62.7,3375,7.2,7.4,29,11,139.2,125,573,4.6,4,2013
62,Logan Thomas,Virginia Tech,ACC,13,227,402,56.5,2907,7.2,6.5,15,13,123.1,162,344,2.1,4,2013
63,Jordan Lynch,Northern Illinois,MAC,14,253,404,62.6,2892,7.2,7.5,24,8,138.4,292,1920,6.6,23,2013
64,Eric Soza,UTSA,CUSA,12,236,377,62.6,2719,7.2,6.5,12,11,127.9,97,369,3.8,7,2013
65,Taylor McHargue,Rice,CUSA,14,169,324,52.2,2345,7.2,7.2,17,8,125.3,157,464,3.0,5,2013
66,Trevor Siemian,Northwestern,Big Ten,12,178,298,59.7,2149,7.2,6.6,11,9,126.4,48,33,0.7,0,2013
67,Logan Kilgore,Middle Tennessee State,CUSA,13,216,355,60.8,2507,7.1,6.3,16,13,127.7,35,20,0.6,2,2013
68,Andrew McDonald,New Mexico State,Ind,12,233,350,66.6,2497,7.1,6.6,15,11,134.4,104,256,2.5,4,2013
69,Gary Nova,Rutgers,American,10,165,303,54.5,2159,7.1,6.2,18,14,124.7,50,-93,-1.9,1,2013
70,Blake Bell,Oklahoma,Big 12,11,140,233,60.1,1648,7.1,7.1,12,5,132.2,75,255,3.4,0,2013
71,Garrett Gilbert,SMU,American,10,335,504,66.5,3528,7.0,7.2,21,7,136.2,83,267,3.2,6,2013
72,John O'Korn,Houston,American,13,259,446,58.1,3117,7.0,7.2,28,10,133.0,77,104,1.4,1,2013
73,Joe Licata,Buffalo,MAC,13,233,402,58.0,2824,7.0,7.3,24,8,132.7,34,-64,-1.9,1,2013
74,Anthony Boone,Duke,ACC,11,206,322,64.0,2260,7.0,6.0,13,13,128.2,66,214,3.2,5,2013
75,Terrance Owens,Toledo,MAC,12,191,318,60.1,2230,7.0,6.9,18,9,132.0,48,164,3.4,2,2013
76,Philip Nelson,Minnesota,Big Ten,11,94,186,50.5,1306,7.0,6.5,9,6,119.0,93,364,3.9,6,2013
77,Maxwell Smith,Kentucky,SEC,9,105,183,57.4,1276,7.0,7.7,9,1,131.1,30,-92,-3.1,0,2013
78,Ronnie Bell,Georgia State,Sun Belt,12,188,375,50.1,2573,6.9,6.3,15,11,115.1,80,113,1.4,3,2013
79,Jake Rudock,Iowa,Big Ten,13,204,346,59.0,2383,6.9,6.2,18,13,126.5,67,218,3.3,5,2013
80,Tyler Benz,Eastern Michigan,MAC,11,129,217,59.4,1497,6.9,6.0,10,9,124.3,44,4,0.1,0,2013
81,Taysom Hill,Brigham Young,Ind,13,236,438,53.9,2938,6.7,6.1,19,14,118.1,246,1344,5.5,10,2013
82,Caleb Herring,UNLV,MWC,13,256,405,63.2,2718,6.7,7.3,24,5,136.7,127,346,2.7,5,2013
83,Pete Thomas,North Carolina State,ACC,9,149,247,60.3,1667,6.7,5.4,4,9,115.1,72,163,2.3,2,2013
84,Jared Goff,California,Pac-12,12,320,530,60.4,3508,6.6,6.4,18,10,123.4,59,-62,-1.1,1,2013
85,B.J. Denker,Arizona,Pac-12,13,233,381,61.2,2516,6.6,6.6,16,7,126.8,181,949,5.2,13,2013
86,Connor Halliday,Washington State,Pac-12,13,449,714,62.9,4597,6.4,6.0,34,22,126.5,50,-177,-3.5,0,2013
87,Nick Mullens,Southern Mississippi,CUSA,9,136,276,49.3,1776,6.4,5.1,13,14,108.7,40,-103,-2.6,2,2013
88,Zach Terrell,Western Michigan,MAC,9,133,251,53.0,1602,6.4,5.6,8,8,110.7,42,0,0.0,0,2013
89,Sam B. Richardson,Iowa State,Big 12,11,121,220,55.0,1397,6.4,5.9,11,7,118.5,101,356,3.5,2,2013
90,Kolton Browning,Louisiana-Monroe,Sun Belt,10,200,352,56.8,2179,6.2,6.4,21,8,124.0,98,229,2.3,2,2013
91,Colin Reardon,Kent State,MAC,11,186,316,58.9,1957,6.2,5.7,12,9,117.7,88,336,3.8,2,2013
92,Kyle Pohl,Akron,MAC,12,225,402,56.0,2438,6.1,5.6,14,10,113.4,72,96,1.3,3,2013
93,Ryan Higgins,Louisiana Tech,CUSA,9,166,281,59.1,1715,6.1,4.4,6,13,108.1,62,19,0.3,3,2013
94,Terrel Hunt,Syracuse,ACC,12,167,273,61.2,1632,6.0,5.4,10,8,117.6,107,500,4.7,7,2013
95,Brandon Allen,Arkansas,SEC,11,128,258,49.6,1552,6.0,5.3,13,10,109.0,29,29,1.0,1,2013
96,Tanner Price,Wake Forest,ACC,12,206,378,54.5,2233,5.9,5.4,13,10,110.2,123,240,2.0,5,2013
97,Paxton Lynch,Memphis,American,12,203,349,58.2,2056,5.9,5.1,9,10,110.4,88,127,1.4,2,2013
98,Case McCoy,Texas,Big 12,13,187,329,56.8,1933,5.9,4.8,11,13,109.3,27,-1,0.0,3,2013
99,Nick Montana,Tulane,CUSA,11,158,296,53.4,1717,5.8,5.2,14,10,111.0,45,4,0.1,0,2013
100,Jake Heaps,Kansas,Big 12,11,128,261,49.0,1414,5.4,4.3,8,10,97.0,40,-162,-4.1,1,2013
101,A.J. Doyle,Massachusetts,MAC,11,128,235,54.5,1274,5.4,3.8,6,11,99.1,65,151,2.3,0,2013
102,David Watford,Virginia,ACC,12,244,427,57.1,2202,5.2,4.0,8,15,99.6,104,208,2.0,3,2013
1,Marcus Mariota,Oregon,Pac-12,15,304,445,68.3,4454,10.0,11.5,42,4,181.7,135,770,5.7,15,2014
2,Garrett Grayson,Colorado State,MWC,13,270,420,64.3,4006,9.5,10.3,32,7,166.2,57,-46,-0.8,0,2014
3,Zach Terrell,Western Michigan,MAC,13,250,368,67.9,3443,9.4,9.5,26,10,164.4,78,264,3.4,3,2014
4,Bryce Petty,Baylor,Big 12,12,270,428,63.1,3855,9.0,9.6,29,7,157.8,84,101,1.2,6,2014
5,J.T. Barrett,Ohio State,Big Ten,12,203,314,64.6,2834,9.0,9.8,34,10,169.8,171,938,5.5,11,2014
6,Grant Hedrick,Boise State,MWC,14,294,415,70.8,3696,8.9,8.5,23,14,157.2,155,592,3.8,8,2014
7,Blake Sims,Alabama,SEC,14,252,391,64.5,3487,8.9,9.2,28,10,157.9,83,350,4.2,7,2014
8,Brandon Doughty,Western Kentucky,CUSA,13,375,552,67.9,4830,8.8,9.7,49,10,167.1,39,-52,-1.3,2,2014
9,Jake Waters,Kansas State,Big 12,13,262,397,66.0,3501,8.8,9.1,22,7,154.8,154,484,3.1,9,2014
10,Connor Cook,Michigan State,Big Ten,13,212,365,58.1,3214,8.8,9.1,24,8,149.4,51,80,1.6,2,2014
11,Rakeem Cato,Marshall,CUSA,14,267,451,59.2,3903,8.7,9.1,40,13,155.4,94,482,5.1,8,2014
12,Dak Prescott,Mississippi State,SEC,13,244,396,61.6,3449,8.7,8.8,27,11,151.7,210,986,4.7,14,2014
13,Gary Nova,Rutgers,Big Ten,13,187,327,57.2,2851,8.7,8.4,22,12,145.3,45,-5,-0.1,3,2014
14,Driphus Jackson,Rice,CUSA,13,191,331,57.7,2842,8.6,8.9,24,8,148.9,121,401,3.3,1,2014
15,Nick Marshall,Auburn,SEC,13,178,293,60.8,2532,8.6,8.9,20,7,151.1,153,798,5.2,11,2014
16,Cody Kessler,USC,Pac-12,13,315,452,69.7,3826,8.5,9.7,39,5,167.1,55,-152,-2.8,2,2014
17,Brad Kaaya,Miami (FL),ACC,13,221,378,58.5,3198,8.5,8.4,26,12,145.9,27,-131,-4.9,1,2014
18,Jameis Winston,Florida State,ACC,13,305,467,65.3,3907,8.4,7.7,25,18,145.5,57,65,1.1,3,2014
19,Bo Wallace,Ole Miss,SEC,13,229,381,60.1,3194,8.4,7.9,22,14,142.2,121,199,1.6,5,2014
20,Gunner Kiel,Cincinnati,American,13,233,390,59.7,3254,8.3,8.4,31,13,149.4,63,142,2.3,1,2014
21,Cooper Rush,Central Michigan,MAC,13,243,382,63.6,3149,8.2,8.1,27,13,149.4,46,-51,-1.1,0,2014
22,Everett Golson,Notre Dame,Ind,13,256,427,60.0,3445,8.1,8.0,29,14,143.6,114,283,2.5,8,2014
23,Taylor Lamb,Appalachian State,Sun Belt,12,181,295,61.4,2381,8.1,7.9,17,9,142.1,78,483,6.2,4,2014
24,Cody Clements,UAB,CUSA,11,183,276,66.3,2227,8.1,7.8,14,8,145.0,91,160,1.8,4,2014
25,Brett Hundley,UCLA,Pac-12,13,271,392,69.1,3155,8.0,8.6,22,5,152.7,159,644,4.1,10,2014
26,Trevone Boykin,Texas Christian,Big 12,13,301,492,61.2,3901,7.9,8.4,33,10,145.9,152,707,4.7,8,2014
27,Dylan Thompson,South Carolina,SEC,13,270,451,59.9,3564,7.9,8.0,26,11,140.4,67,-72,-1.1,4,2014
28,Kevin Hogan,Stanford,Pac-12,13,232,352,65.9,2792,7.9,8.0,19,8,145.8,91,295,3.2,5,2014
29,Jared Goff,California,Pac-12,12,316,509,62.1,3973,7.8,8.6,35,7,147.6,55,-44,-0.8,0,2014
30,Clint Trickett,West Virginia,Big 12,11,281,419,67.1,3285,7.8,7.6,18,10,142.3,42,-106,-2.5,1,2014
31,Tommy Armstrong Jr,Nebraska,Big Ten,13,184,345,53.3,2695,7.8,7.5,22,12,133.0,145,705,4.9,6,2014
32,Chad Voytik,Pitt,ACC,13,176,287,61.3,2233,7.8,7.8,16,7,140.2,108,466,4.3,3,2014
33,Hutson Mason,Georgia,SEC,13,188,277,67.9,2168,7.8,8.7,21,4,155.7,43,3,0.1,4,2014
34,Shane Carden,East Carolina,American,13,392,617,63.5,4736,7.7,7.9,30,10,140.8,96,76,0.8,6,2014
35,Cody Sokol,Louisiana Tech,CUSA,14,260,448,58.0,3436,7.7,7.7,30,13,138.8,53,44,0.8,2,2014
36,Blake Frohnapfel,Massachusetts,MAC,10,241,436,55.3,3345,7.7,7.7,23,10,132.5,41,-85,-2.1,0,2014
37,Nick Arbuckle,Georgia State,Sun Belt,12,259,429,60.4,3283,7.7,6.9,23,17,134.4,73,10,0.1,2,2014
38,Joe Licata,Buffalo,MAC,11,224,345,64.9,2647,7.7,7.9,29,11,150.7,34,-6,-0.2,2,2014
39,Taylor Heinicke,Old Dominion,CUSA,12,289,457,63.2,3476,7.6,7.3,30,16,141.8,80,139,1.7,2,2014
40,Fredi Knighten,Arkansas State,Sun Belt,13,269,432,62.3,3277,7.6,8.0,24,7,141.1,211,779,3.7,11,2014
41,Austin Grammer,Middle Tennessee State,CUSA,12,221,338,65.4,2557,7.6,7.0,17,12,138.4,124,442,3.6,6,2014
42,Logan Woodside,Toledo,MAC,12,185,296,62.5,2263,7.6,7.7,19,8,142.5,52,78,1.5,3,2014
43,Taylor Kelly,Arizona State,Pac-12,10,165,278,59.4,2114,7.6,8.4,22,5,145.7,95,256,2.7,3,2014
44,Greg Ward Jr.,Houston,American,13,177,263,67.3,2010,7.6,7.4,12,7,141.2,118,573,4.9,6,2014
45,Mitch Leidner,Minnesota,Big Ten,12,122,237,51.5,1798,7.6,7.0,11,8,123.8,126,452,3.6,10,2014
46,Justin Holman,UCF,American,13,223,392,56.9,2952,7.5,7.1,23,14,132.4,112,189,1.7,3,2014
47,Connor Halliday,Washington State,Pac-12,9,354,526,67.3,3873,7.4,7.6,32,11,145.0,29,-131,-4.5,0,2014
48,Colby Kirkegaard,Wyoming,MWC,12,206,359,57.4,2660,7.4,6.9,12,9,125.6,78,-110,-1.4,0,2014
49,Paxton Lynch,Memphis,American,13,259,413,62.7,3031,7.3,7.4,22,9,137.6,113,321,2.8,13,2014
50,Cyler Miles,Washington,Pac-12,12,219,329,66.6,2397,7.3,7.8,17,4,142.4,118,307,2.6,4,2014
51,Trevor Knight,Oklahoma,Big 12,10,179,316,56.6,2300,7.3,6.5,14,12,124.8,68,339,5.0,5,2014
52,Andrew Hendrix,Miami (OH),MAC,12,222,458,48.5,3280,7.2,7.3,23,9,121.3,157,324,2.1,6,2014
53,Marquise Williams,North Carolina,ACC,13,270,428,63.1,3068,7.2,7.2,21,9,135.3,193,788,4.1,13,2014
54,Blake Decker,UNLV,MWC,13,231,401,57.6,2881,7.2,5.9,15,18,121.3,147,366,2.5,5,2014
55,Tyler Jones,Texas State,Sun Belt,12,246,376,65.4,2670,7.1,7.4,22,7,140.7,166,539,3.2,6,2014
56,Jake Rudock,Iowa,Big Ten,12,213,345,61.7,2436,7.1,7.3,16,5,133.5,67,176,2.6,3,2014
57,Drew Hare,Northern Illinois,MAC,14,194,326,59.5,2322,7.1,8.0,18,2,136.3,159,900,5.7,8,2014
58,Tyler Murphy,Boston College,ACC,13,131,230,57.0,1623,7.1,6.2,13,10,126.2,180,1179,6.6,11,2014
59,Anthony Jennings,LSU,SEC,13,111,227,48.9,1611,7.1,6.7,11,7,118.3,108,292,2.7,0,2014
60,Anu Solomon,Arizona,Pac-12,14,313,540,58.0,3793,7.0,7.3,28,9,130.7,137,291,2.1,2,2014
61,Sean Mannion,Oregon State,Pac-12,12,282,453,62.3,3164,7.0,6.9,15,8,128.3,48,-306,-6.4,1,2014
62,Jacoby Brissett,North Carolina State,ACC,13,221,370,59.7,2606,7.0,7.7,23,5,136.7,124,529,4.3,3,2014
63,Joe Gray,San Jose State,MWC,11,210,330,63.6,2305,7.0,6.4,11,9,127.9,58,99,1.7,3,2014
64,Jaquez Johnson,Florida Atlantic,CUSA,11,182,315,57.8,2215,7.0,7.4,17,5,131.5,120,513,4.3,7,2014
65,Quinn Kaehler,San Diego State,MWC,13,169,307,55.0,2157,7.0,5.9,9,12,115.9,26,-105,-4.0,0,2014
66,Mike Cummings,Kansas,Big 12,12,137,244,56.1,1715,7.0,6.7,9,6,122.4,67,23,0.3,4,2014
67,Reggie Bell,Eastern Michigan,MAC,10,105,184,57.1,1297,7.0,6.6,9,6,125.9,133,562,4.2,4,2014
68,Patrick Towles,Kentucky,SEC,12,225,393,57.3,2718,6.9,6.6,14,9,122.5,145,303,2.1,6,2014
69,Travis Wilson,Utah,Pac-12,13,190,313,60.7,2170,6.9,7.4,18,5,134.7,114,309,2.7,5,2014
70,Nick Mullens,Southern Mississippi,CUSA,10,218,365,59.7,2470,6.8,6.3,12,9,122.5,49,39,0.8,0,2014
71,Brandon Silvers,Troy,Sun Belt,11,191,271,70.5,1832,6.8,7.1,11,3,138.4,100,196,2.0,5,2014
72,Mike White,South Florida,American,11,122,242,50.4,1639,6.8,6.1,8,7,112.4,29,-85,-2.9,0,2014
73,Chandler Whitmer,Connecticut,American,12,124,224,55.4,1522,6.8,6.2,11,8,121.5,75,69,0.9,2,2014
74,Dane Evans,Tulsa,American,12,256,462,55.4,3102,6.7,6.1,23,17,120.9,77,58,0.8,3,2014
75,Matt Linehan,Idaho,Sun Belt,11,221,379,58.3,2540,6.7,5.1,11,18,114.7,86,-66,-0.8,1,2014
76,Terrance Broadway,Louisiana,Sun Belt,13,216,342,63.2,2295,6.7,6.3,13,9,126.8,146,653,4.5,3,2014
77,Brandon Allen,Arkansas,SEC,13,190,339,56.0,2285,6.7,7.3,20,5,129.2,42,0,0.0,2,2014
78,Devin Gardner,Michigan,Big Ten,12,174,283,61.5,1896,6.7,5.0,10,15,118.8,98,258,2.6,4,2014
79,James Knapke,Bowling Green State,MAC,13,280,483,58.0,3173,6.6,6.1,15,12,118.4,67,136,2.0,2,2014
80,C.J. Brown,Maryland,Big Ten,13,189,354,53.4,2288,6.5,5.9,13,10,114.2,161,539,3.3,8,2014
81,Jameill Showers,UTEP,CUSA,13,159,286,55.6,1858,6.5,6.4,12,6,119.8,93,312,3.4,4,2014
82,Reilly O'Toole,Illinois,Big Ten,10,122,206,59.2,1344,6.5,5.7,10,8,122.3,95,263,2.8,1,2014
83,Sefo Liufau,Colorado,Pac-12,12,325,498,65.3,3200,6.4,6.2,28,15,131.8,69,136,2.0,0,2014
84,Tyler Rogers,New Mexico State,Sun Belt,12,268,436,61.5,2779,6.4,4.9,19,23,118.8,69,200,2.9,2,2014
85,Maty Mauk,Missouri,SEC,14,221,414,53.4,2648,6.4,6.2,25,13,120.8,108,373,3.5,2,2014
86,Andrew McNulty,North Texas,CUSA,10,110,202,54.5,1295,6.4,5.4,6,7,111.2,42,54,1.3,2,2014
87,Pete Thomas,Louisiana-Monroe,Sun Belt,12,301,501,60.1,3181,6.3,6.4,14,6,120.2,110,6,0.1,3,2014
88,Tyrone Swoopes,Texas,Big 12,12,224,384,58.3,2409,6.3,5.7,13,11,116.5,108,262,2.4,4,2014
89,Brandon Bridge,South Alabama,Sun Belt,11,160,307,52.1,1927,6.3,6.1,15,8,115.8,101,297,2.9,4,2014
90,Cole Stoudt,Clemson,ACC,13,191,302,63.2,1892,6.3,5.4,9,10,119.1,69,93,1.3,1,2014
91,Greyson Lambert,Virginia,ACC,9,154,261,59.0,1632,6.3,5.1,10,11,115.7,35,-6,-0.2,2,2014
92,Christian Hackenberg,Penn State,Big Ten,13,270,484,55.8,2977,6.2,5.3,12,15,109.4,93,-94,-1.0,0,2014
93,Cody Fajardo,Nevada,MWC,13,239,405,59.0,2498,6.2,5.8,18,11,120.1,177,1046,5.9,13,2014
94,Colin Reardon,Kent State,MAC,11,228,400,57.0,2466,6.2,5.1,14,16,112.3,59,148,2.5,2,2014
95,Michael Brewer,Virginia Tech,ACC,13,262,441,59.4,2692,6.1,5.4,18,15,117.4,80,-5,-0.1,2,2014
96,Brian Burrell,Fresno State,MWC,14,252,432,58.3,2620,6.1,5.2,22,18,117.8,110,360,3.3,3,2014
97,Ikaika Woolsey,Hawaii,MWC,13,210,416,50.5,2538,6.1,5.3,13,13,105.8,110,203,1.8,1,2014
98,P.J. Walker,Temple,American,12,203,381,53.3,2317,6.1,5.0,13,15,107.8,106,324,3.1,3,2014
99,Alex McGough,Florida International,CUSA,12,138,274,50.4,1680,6.1,5.5,14,10,111.4,97,92,0.9,4,2014
100,J.D. Sprague,Ohio,MAC,10,98,202,48.5,1236,6.1,5.3,3,5,99.9,65,264,4.1,3,2014
101,Anthony Boone,Duke,ACC,13,255,453,56.3,2700,6.0,6.0,19,8,116.7,94,375,4.0,5,2014
102,Sam B. Richardson,Iowa State,Big 12,11,254,451,56.3,2669,5.9,5.8,18,9,115.2,125,421,3.4,3,2014
103,Tanner Lee,Tulane,American,10,185,336,55.1,1962,5.8,4.7,12,14,107.6,36,-125,-3.5,0,2014
104,Kyle Pohl,Akron,MAC,10,208,383,54.3,2189,5.7,5.2,9,8,105.9,46,18,0.4,1,2014
105,Trevor Siemian,Northwestern,Big Ten,11,228,392,58.2,2214,5.6,4.7,7,11,105.9,68,-123,-1.8,5,2014
106,John Wolford,Wake Forest,ACC,12,214,367,58.3,2037,5.6,4.5,12,14,108.1,104,-151,-1.5,0,2014
107,Jeff Driskel,Florida,SEC,9,114,212,53.8,1140,5.4,4.1,9,10,103.5,69,180,2.6,4,2014
108,Austin Appleby,Purdue,Big Ten,10,144,272,52.9,1449,5.3,4.2,10,11,101.7,61,198,3.2,5,2014
1,Vernon Adams,Oregon,Pac-12,10,168,259,64.9,2643,10.2,11.2,26,6,179.1,83,147,1.8,2,2015
2,Brandon Doughty,Western Kentucky,CUSA,14,388,540,71.9,5055,9.4,10.4,48,9,176.5,27,-122,-4.5,1,2015
3,Baker Mayfield,Oklahoma,Big 12,13,269,395,68.1,3700,9.4,10.4,36,7,173.3,141,405,2.9,7,2015
4,Kevin Hogan,Stanford,Pac-12,14,206,304,67.8,2867,9.4,10.0,27,8,171.0,85,336,4.0,6,2015
5,Brandon Allen,Arkansas,SEC,13,244,370,65.9,3440,9.3,9.9,30,8,166.5,55,110,2.0,1,2015
6,Nick Arbuckle,Georgia State,Sun Belt,13,307,486,63.2,4368,9.0,9.0,28,12,152.7,61,-95,-1.6,6,2015
